"","HZ","date","expert","expert.date","p_cm_val","p_cm"
"1","BENI","16-01-2020",12,"expert 12 16-01-2020",1,">=2"
"2","BENI","21-01-2020",8,"expert 8 21-01-2020",0.8,">=2"
"3","BENI","22-01-2020",9,"expert 9 22-01-2020",1,">=2"
"4","BENI","17-01-2020",1,"expert 1 17-01-2020",0.95,">=2"
"5","BENI","15-01-2020",3,"expert 3 15-01-2020",0.7,">=2"
"6","BENI","24-01-2020",13,"expert 13 24-01-2020",1,">=2"
"7","BENI","17-01-2020",5,"expert 5 17-01-2020",1,">=2"
"8","BENI","17-01-2020",4,"expert 4 17-01-2020",0.95,">=2"
"9","BENI","22-01-2020",11,"expert 11 22-01-2020",1,">=2"
"10","BENI","28-01-2020",14,"expert 14 28-01-2020",1,">=2"
"11","BENI","16-01-2020",2,"expert 2 16-01-2020",1,">=2"
"12","BUNIA","17-01-2020",1,"expert 1 17-01-2020",0.1,">=2"
"13","BUNIA","21-01-2020",8,"expert 8 21-01-2020",0.45,">=2"
"14","BUNIA","28-01-2020",14,"expert 14 28-01-2020",0,">=2"
"15","BUNIA","16-01-2020",12,"expert 12 16-01-2020",0,">=2"
"16","BUNIA","17-01-2020",4,"expert 4 17-01-2020",0.35,">=2"
"17","BUNIA","24-01-2020",13,"expert 13 24-01-2020",0,">=2"
"18","BUNIA","16-01-2020",2,"expert 2 16-01-2020",0.25,">=2"
"19","BUNIA","17-01-2020",5,"expert 5 17-01-2020",0,">=2"
"20","BUNIA","22-01-2020",11,"expert 11 22-01-2020",0.25,">=2"
"21","BUNIA","15-01-2020",3,"expert 3 15-01-2020",0,">=2"
"22","BUNIA","22-01-2020",9,"expert 9 22-01-2020",0,">=2"
"23","BUTEMBO","17-01-2020",1,"expert 1 17-01-2020",0.5,">=2"
"24","BUTEMBO","15-01-2020",3,"expert 3 15-01-2020",0.35,">=2"
"25","BUTEMBO","16-01-2020",2,"expert 2 16-01-2020",1,">=2"
"26","BUTEMBO","22-01-2020",9,"expert 9 22-01-2020",0.6,">=2"
"27","BUTEMBO","22-01-2020",11,"expert 11 22-01-2020",0.6,">=2"
"28","BUTEMBO","17-01-2020",4,"expert 4 17-01-2020",0.95,">=2"
"29","BUTEMBO","16-01-2020",12,"expert 12 16-01-2020",0.95,">=2"
"30","BUTEMBO","17-01-2020",5,"expert 5 17-01-2020",1,">=2"
"31","BUTEMBO","24-01-2020",13,"expert 13 24-01-2020",0.8,">=2"
"32","BUTEMBO","28-01-2020",14,"expert 14 28-01-2020",0.4,">=2"
"33","BUTEMBO","21-01-2020",8,"expert 8 21-01-2020",0.65,">=2"
