"","HZ","date","expert","expert.date","p_cm_val","p_cm"
"140","GOMA","22-11-2019",9,"expert 9 22-11-2019",0,">=10"
"141","KALUNGUTA","11-11-2019",1,"expert 1 11-11-2019",0,">=10"
"142","KALUNGUTA","12-11-2019",2,"expert 2 12-11-2019",0,">=10"
"143","KALUNGUTA","14-11-2019",10,"expert 10 14-11-2019",0,">=10"
"144","KALUNGUTA","15-11-2019",3,"expert 3 15-11-2019",0,">=10"
"145","KALUNGUTA","15-11-2019",4,"expert 4 15-11-2019",0.3,">=10"
"146","KALUNGUTA","15-11-2019",5,"expert 5 15-11-2019",0,">=10"
"147","KALUNGUTA","20-11-2019",6,"expert 6 20-11-2019",0,">=10"
"148","KALUNGUTA","22-11-2019",7,"expert 7 22-11-2019",0,">=10"
"149","KALUNGUTA","22-11-2019",8,"expert 8 22-11-2019",0,">=10"
"150","KALUNGUTA","22-11-2019",9,"expert 9 22-11-2019",0,">=10"
"151","MABALAKO","11-11-2019",1,"expert 1 11-11-2019",0,">=10"
"152","MABALAKO","12-11-2019",2,"expert 2 12-11-2019",0.15,">=10"
"153","MABALAKO","14-11-2019",10,"expert 10 14-11-2019",1,">=10"
"154","MABALAKO","15-11-2019",3,"expert 3 15-11-2019",0.05,">=10"
"155","MABALAKO","15-11-2019",4,"expert 4 15-11-2019",1,">=10"
"156","MABALAKO","15-11-2019",5,"expert 5 15-11-2019",0.55,">=10"
"157","MABALAKO","20-11-2019",6,"expert 6 20-11-2019",0,">=10"
"158","MABALAKO","22-11-2019",7,"expert 7 22-11-2019",0,">=10"
"159","MABALAKO","22-11-2019",8,"expert 8 22-11-2019",1,">=10"
"160","MABALAKO","22-11-2019",9,"expert 9 22-11-2019",0,">=10"
"161","MAMBASA","11-11-2019",1,"expert 1 11-11-2019",0,">=10"
"162","MAMBASA","12-11-2019",2,"expert 2 12-11-2019",0,">=10"
"163","MAMBASA","14-11-2019",10,"expert 10 14-11-2019",0.3,">=10"
"164","MAMBASA","15-11-2019",3,"expert 3 15-11-2019",0,">=10"
"165","MAMBASA","15-11-2019",4,"expert 4 15-11-2019",0.4,">=10"
"166","MAMBASA","15-11-2019",5,"expert 5 15-11-2019",0,">=10"
"167","MAMBASA","20-11-2019",6,"expert 6 20-11-2019",0,">=10"
"168","MAMBASA","22-11-2019",7,"expert 7 22-11-2019",0,">=10"
"169","MAMBASA","22-11-2019",8,"expert 8 22-11-2019",0.15,">=10"
"170","MAMBASA","22-11-2019",9,"expert 9 22-11-2019",0,">=10"
"171","MANDIMA","11-11-2019",1,"expert 1 11-11-2019",0,">=10"
"172","MANDIMA","12-11-2019",2,"expert 2 12-11-2019",0,">=10"
"173","MANDIMA","14-11-2019",10,"expert 10 14-11-2019",0.6,">=10"
"174","MANDIMA","15-11-2019",3,"expert 3 15-11-2019",0,">=10"
"175","MANDIMA","15-11-2019",4,"expert 4 15-11-2019",1,">=10"
"176","MANDIMA","15-11-2019",5,"expert 5 15-11-2019",0,">=10"
"177","MANDIMA","20-11-2019",6,"expert 6 20-11-2019",0,">=10"
"178","MANDIMA","22-11-2019",7,"expert 7 22-11-2019",0.1,">=10"
"179","MANDIMA","22-11-2019",8,"expert 8 22-11-2019",0.15,">=10"
"180","MANDIMA","22-11-2019",9,"expert 9 22-11-2019",0,">=10"
"181","BENI","11-11-2019",1,"expert 1 11-11-2019",0,">=20"
"182","BENI","12-11-2019",2,"expert 2 12-11-2019",0,">=20"
"183","BENI","14-11-2019",10,"expert 10 14-11-2019",0.9,">=20"
"184","BENI","15-11-2019",3,"expert 3 15-11-2019",0,">=20"
"185","BENI","15-11-2019",4,"expert 4 15-11-2019",0.1,">=20"
"186","BENI","15-11-2019",5,"expert 5 15-11-2019",0,">=20"
"187","BENI","20-11-2019",6,"expert 6 20-11-2019",0,">=20"
"188","BENI","22-11-2019",7,"expert 7 22-11-2019",0.05,">=20"
"189","BENI","22-11-2019",8,"expert 8 22-11-2019",0,">=20"
"190","BENI","22-11-2019",9,"expert 9 22-11-2019",0,">=20"
"191","GOMA","11-11-2019",1,"expert 1 11-11-2019",0,">=20"
"192","GOMA","12-11-2019",2,"expert 2 12-11-2019",0,">=20"
"193","GOMA","14-11-2019",10,"expert 10 14-11-2019",0,">=20"
"194","GOMA","15-11-2019",3,"expert 3 15-11-2019",0,">=20"
"195","GOMA","15-11-2019",4,"expert 4 15-11-2019",0,">=20"
"196","GOMA","15-11-2019",5,"expert 5 15-11-2019",0,">=20"
"197","GOMA","20-11-2019",6,"expert 6 20-11-2019",0,">=20"
"198","GOMA","22-11-2019",7,"expert 7 22-11-2019",0,">=20"
"199","GOMA","22-11-2019",8,"expert 8 22-11-2019",0,">=20"
"200","GOMA","22-11-2019",9,"expert 9 22-11-2019",0,">=20"
"201","KALUNGUTA","11-11-2019",1,"expert 1 11-11-2019",0,">=20"
"202","KALUNGUTA","12-11-2019",2,"expert 2 12-11-2019",0,">=20"
"203","KALUNGUTA","14-11-2019",10,"expert 10 14-11-2019",0,">=20"
"204","KALUNGUTA","15-11-2019",3,"expert 3 15-11-2019",0,">=20"
"205","KALUNGUTA","15-11-2019",4,"expert 4 15-11-2019",0,">=20"
"206","KALUNGUTA","15-11-2019",5,"expert 5 15-11-2019",0,">=20"
"207","KALUNGUTA","20-11-2019",6,"expert 6 20-11-2019",0,">=20"
"208","KALUNGUTA","22-11-2019",7,"expert 7 22-11-2019",0,">=20"
"209","KALUNGUTA","22-11-2019",8,"expert 8 22-11-2019",0,">=20"
"210","KALUNGUTA","22-11-2019",9,"expert 9 22-11-2019",0,">=20"
"211","MABALAKO","11-11-2019",1,"expert 1 11-11-2019",0,">=20"
"212","MABALAKO","12-11-2019",2,"expert 2 12-11-2019",0,">=20"
"213","MABALAKO","14-11-2019",10,"expert 10 14-11-2019",0.9,">=20"
"214","MABALAKO","15-11-2019",3,"expert 3 15-11-2019",0,">=20"
"215","MABALAKO","15-11-2019",4,"expert 4 15-11-2019",0.1,">=20"
"216","MABALAKO","15-11-2019",5,"expert 5 15-11-2019",0,">=20"
"217","MABALAKO","20-11-2019",6,"expert 6 20-11-2019",0,">=20"
"218","MABALAKO","22-11-2019",7,"expert 7 22-11-2019",0,">=20"
"219","MABALAKO","22-11-2019",8,"expert 8 22-11-2019",0.75,">=20"
"220","MABALAKO","22-11-2019",9,"expert 9 22-11-2019",0,">=20"
"221","MAMBASA","11-11-2019",1,"expert 1 11-11-2019",0,">=20"
"222","MAMBASA","12-11-2019",2,"expert 2 12-11-2019",0,">=20"
"223","MAMBASA","14-11-2019",10,"expert 10 14-11-2019",0,">=20"
"224","MAMBASA","15-11-2019",3,"expert 3 15-11-2019",0,">=20"
"225","MAMBASA","15-11-2019",4,"expert 4 15-11-2019",0,">=20"
"226","MAMBASA","15-11-2019",5,"expert 5 15-11-2019",0,">=20"
"227","MAMBASA","20-11-2019",6,"expert 6 20-11-2019",0,">=20"
"228","MAMBASA","22-11-2019",7,"expert 7 22-11-2019",0,">=20"
"229","MAMBASA","22-11-2019",8,"expert 8 22-11-2019",0,">=20"
"230","MAMBASA","22-11-2019",9,"expert 9 22-11-2019",0,">=20"
"231","MANDIMA","11-11-2019",1,"expert 1 11-11-2019",0,">=20"
"232","MANDIMA","12-11-2019",2,"expert 2 12-11-2019",0,">=20"
"233","MANDIMA","14-11-2019",10,"expert 10 14-11-2019",0,">=20"
"234","MANDIMA","15-11-2019",3,"expert 3 15-11-2019",0,">=20"
"235","MANDIMA","15-11-2019",4,"expert 4 15-11-2019",0.25,">=20"
"236","MANDIMA","15-11-2019",5,"expert 5 15-11-2019",0,">=20"
"237","MANDIMA","20-11-2019",6,"expert 6 20-11-2019",0,">=20"
"238","MANDIMA","22-11-2019",7,"expert 7 22-11-2019",0,">=20"
"239","MANDIMA","22-11-2019",8,"expert 8 22-11-2019",0,">=20"
"240","MANDIMA","22-11-2019",9,"expert 9 22-11-2019",0,">=20"
