"","HZ","date","expert","expert.date","p_cm_val","p_cm"
"1","BENI","15-11-2019",4,"expert 4 15-11-2019",1,">=2"
"2","BENI","14-11-2019",10,"expert 10 14-11-2019",1,">=2"
"3","BENI","11-11-2019",1,"expert 1 11-11-2019",0.5,">=2"
"4","BENI","20-11-2019",6,"expert 6 20-11-2019",0.3,">=2"
"5","BENI","22-11-2019",7,"expert 7 22-11-2019",0.7,">=2"
"6","BENI","12-11-2019",2,"expert 2 12-11-2019",0.95,">=2"
"7","BENI","22-11-2019",8,"expert 8 22-11-2019",1,">=2"
"8","BENI","15-11-2019",3,"expert 3 15-11-2019",0.75,">=2"
"9","BENI","15-11-2019",5,"expert 5 15-11-2019",1,">=2"
"10","BENI","22-11-2019",9,"expert 9 22-11-2019",0.5,">=2"
"11","GOMA","15-11-2019",5,"expert 5 15-11-2019",0,">=2"
"12","GOMA","22-11-2019",7,"expert 7 22-11-2019",0,">=2"
"13","GOMA","15-11-2019",3,"expert 3 15-11-2019",0,">=2"
"14","GOMA","11-11-2019",1,"expert 1 11-11-2019",0.1,">=2"
"15","GOMA","15-11-2019",4,"expert 4 15-11-2019",0.5,">=2"
"16","GOMA","20-11-2019",6,"expert 6 20-11-2019",0,">=2"
"17","GOMA","22-11-2019",8,"expert 8 22-11-2019",0.45,">=2"
"18","GOMA","12-11-2019",2,"expert 2 12-11-2019",0.6,">=2"
"19","GOMA","14-11-2019",10,"expert 10 14-11-2019",0.3,">=2"
"20","GOMA","22-11-2019",9,"expert 9 22-11-2019",0,">=2"
"21","KALUNGUTA","15-11-2019",4,"expert 4 15-11-2019",1,">=2"
"22","KALUNGUTA","22-11-2019",9,"expert 9 22-11-2019",0.6,">=2"
"23","KALUNGUTA","12-11-2019",2,"expert 2 12-11-2019",0.85,">=2"
"24","KALUNGUTA","22-11-2019",8,"expert 8 22-11-2019",0.8,">=2"
"25","KALUNGUTA","15-11-2019",5,"expert 5 15-11-2019",0.1,">=2"
"26","KALUNGUTA","15-11-2019",3,"expert 3 15-11-2019",0.5,">=2"
"27","KALUNGUTA","14-11-2019",10,"expert 10 14-11-2019",0.5,">=2"
"28","KALUNGUTA","11-11-2019",1,"expert 1 11-11-2019",0.5,">=2"
"29","KALUNGUTA","20-11-2019",6,"expert 6 20-11-2019",0,">=2"
"30","KALUNGUTA","22-11-2019",7,"expert 7 22-11-2019",0.45,">=2"
"31","MABALAKO","22-11-2019",7,"expert 7 22-11-2019",0.5,">=2"
"32","MABALAKO","14-11-2019",10,"expert 10 14-11-2019",1,">=2"
"33","MABALAKO","15-11-2019",5,"expert 5 15-11-2019",1,">=2"
"34","MABALAKO","12-11-2019",2,"expert 2 12-11-2019",0.95,">=2"
"35","MABALAKO","15-11-2019",3,"expert 3 15-11-2019",0.85,">=2"
"36","MABALAKO","22-11-2019",9,"expert 9 22-11-2019",0.5,">=2"
"37","MABALAKO","20-11-2019",6,"expert 6 20-11-2019",0.6,">=2"
"38","MABALAKO","22-11-2019",8,"expert 8 22-11-2019",1,">=2"
"39","MABALAKO","11-11-2019",1,"expert 1 11-11-2019",0.8,">=2"
"40","MABALAKO","15-11-2019",4,"expert 4 15-11-2019",1,">=2"
"41","MAMBASA","12-11-2019",2,"expert 2 12-11-2019",0.7,">=2"
"42","MAMBASA","11-11-2019",1,"expert 1 11-11-2019",0.8,">=2"
"43","MAMBASA","22-11-2019",9,"expert 9 22-11-2019",0,">=2"
"44","MAMBASA","15-11-2019",5,"expert 5 15-11-2019",0.2,">=2"
"45","MAMBASA","15-11-2019",3,"expert 3 15-11-2019",0.65,">=2"
"46","MAMBASA","22-11-2019",7,"expert 7 22-11-2019",0.6,">=2"
"47","MAMBASA","14-11-2019",10,"expert 10 14-11-2019",0.5,">=2"
"48","MAMBASA","20-11-2019",6,"expert 6 20-11-2019",0.3,">=2"
"49","MAMBASA","22-11-2019",8,"expert 8 22-11-2019",0.65,">=2"
"50","MAMBASA","15-11-2019",4,"expert 4 15-11-2019",1,">=2"
"51","MANDIMA","11-11-2019",1,"expert 1 11-11-2019",0.8,">=2"
"52","MANDIMA","22-11-2019",8,"expert 8 22-11-2019",0.9,">=2"
"53","MANDIMA","22-11-2019",9,"expert 9 22-11-2019",0.55,">=2"
"54","MANDIMA","14-11-2019",10,"expert 10 14-11-2019",0.75,">=2"
"55","MANDIMA","12-11-2019",2,"expert 2 12-11-2019",0.95,">=2"
"56","MANDIMA","15-11-2019",3,"expert 3 15-11-2019",0.7,">=2"
"57","MANDIMA","15-11-2019",4,"expert 4 15-11-2019",1,">=2"
"58","MANDIMA","22-11-2019",7,"expert 7 22-11-2019",0.75,">=2"
"59","MANDIMA","20-11-2019",6,"expert 6 20-11-2019",0.5,">=2"
"60","MANDIMA","15-11-2019",5,"expert 5 15-11-2019",0.3,">=2"
"61","BENI","11-11-2019",1,"expert 1 11-11-2019",0.15,">=6"
"62","BENI","12-11-2019",2,"expert 2 12-11-2019",0.4,">=6"
"63","BENI","14-11-2019",10,"expert 10 14-11-2019",1,">=6"
"64","BENI","15-11-2019",3,"expert 3 15-11-2019",0.25,">=6"
"65","BENI","15-11-2019",4,"expert 4 15-11-2019",1,">=6"
"66","BENI","15-11-2019",5,"expert 5 15-11-2019",0.3,">=6"
"67","BENI","20-11-2019",6,"expert 6 20-11-2019",0,">=6"
"68","BENI","22-11-2019",7,"expert 7 22-11-2019",0.4,">=6"
"69","BENI","22-11-2019",8,"expert 8 22-11-2019",0.95,">=6"
"70","BENI","22-11-2019",9,"expert 9 22-11-2019",0,">=6"
"71","GOMA","11-11-2019",1,"expert 1 11-11-2019",0,">=6"
"72","GOMA","12-11-2019",2,"expert 2 12-11-2019",0.15,">=6"
"73","GOMA","14-11-2019",10,"expert 10 14-11-2019",0,">=6"
"74","GOMA","15-11-2019",3,"expert 3 15-11-2019",0,">=6"
"75","GOMA","15-11-2019",4,"expert 4 15-11-2019",0.3,">=6"
"76","GOMA","15-11-2019",5,"expert 5 15-11-2019",0,">=6"
"77","GOMA","20-11-2019",6,"expert 6 20-11-2019",0,">=6"
"78","GOMA","22-11-2019",7,"expert 7 22-11-2019",0,">=6"
"79","GOMA","22-11-2019",8,"expert 8 22-11-2019",0.05,">=6"
"80","GOMA","22-11-2019",9,"expert 9 22-11-2019",0,">=6"
"81","KALUNGUTA","11-11-2019",1,"expert 1 11-11-2019",0.15,">=6"
"82","KALUNGUTA","12-11-2019",2,"expert 2 12-11-2019",0.15,">=6"
"83","KALUNGUTA","14-11-2019",10,"expert 10 14-11-2019",0,">=6"
"84","KALUNGUTA","15-11-2019",3,"expert 3 15-11-2019",0,">=6"
"85","KALUNGUTA","15-11-2019",4,"expert 4 15-11-2019",0.75,">=6"
"86","KALUNGUTA","15-11-2019",5,"expert 5 15-11-2019",0,">=6"
"87","KALUNGUTA","20-11-2019",6,"expert 6 20-11-2019",0,">=6"
"88","KALUNGUTA","22-11-2019",7,"expert 7 22-11-2019",0.05,">=6"
"89","KALUNGUTA","22-11-2019",8,"expert 8 22-11-2019",0.3,">=6"
"90","KALUNGUTA","22-11-2019",9,"expert 9 22-11-2019",0,">=6"
"91","MABALAKO","11-11-2019",1,"expert 1 11-11-2019",0.4,">=6"
"92","MABALAKO","12-11-2019",2,"expert 2 12-11-2019",0.5,">=6"
"93","MABALAKO","14-11-2019",10,"expert 10 14-11-2019",1,">=6"
"94","MABALAKO","15-11-2019",3,"expert 3 15-11-2019",0.35,">=6"
"95","MABALAKO","15-11-2019",4,"expert 4 15-11-2019",1,">=6"
"96","MABALAKO","15-11-2019",5,"expert 5 15-11-2019",1,">=6"
"97","MABALAKO","20-11-2019",6,"expert 6 20-11-2019",0,">=6"
"98","MABALAKO","22-11-2019",7,"expert 7 22-11-2019",0,">=6"
"99","MABALAKO","22-11-2019",8,"expert 8 22-11-2019",1,">=6"
"100","MABALAKO","22-11-2019",9,"expert 9 22-11-2019",0,">=6"
"101","MAMBASA","11-11-2019",1,"expert 1 11-11-2019",0.4,">=6"
"102","MAMBASA","12-11-2019",2,"expert 2 12-11-2019",0.05,">=6"
"103","MAMBASA","14-11-2019",10,"expert 10 14-11-2019",0.3,">=6"
"104","MAMBASA","15-11-2019",3,"expert 3 15-11-2019",0.05,">=6"
"105","MAMBASA","15-11-2019",4,"expert 4 15-11-2019",0.8,">=6"
"106","MAMBASA","15-11-2019",5,"expert 5 15-11-2019",0,">=6"
"107","MAMBASA","20-11-2019",6,"expert 6 20-11-2019",0,">=6"
"108","MAMBASA","22-11-2019",7,"expert 7 22-11-2019",0.1,">=6"
"109","MAMBASA","22-11-2019",8,"expert 8 22-11-2019",0.3,">=6"
"110","MAMBASA","22-11-2019",9,"expert 9 22-11-2019",0,">=6"
"111","MANDIMA","11-11-2019",1,"expert 1 11-11-2019",0.4,">=6"
"112","MANDIMA","12-11-2019",2,"expert 2 12-11-2019",0.3,">=6"
"113","MANDIMA","14-11-2019",10,"expert 10 14-11-2019",0.75,">=6"
"114","MANDIMA","15-11-2019",3,"expert 3 15-11-2019",0.2,">=6"
"115","MANDIMA","15-11-2019",4,"expert 4 15-11-2019",1,">=6"
"116","MANDIMA","15-11-2019",5,"expert 5 15-11-2019",0,">=6"
"117","MANDIMA","20-11-2019",6,"expert 6 20-11-2019",0,">=6"
"118","MANDIMA","22-11-2019",7,"expert 7 22-11-2019",0.35,">=6"
"119","MANDIMA","22-11-2019",8,"expert 8 22-11-2019",0.4,">=6"
"120","MANDIMA","22-11-2019",9,"expert 9 22-11-2019",0,">=6"
"121","BENI","11-11-2019",1,"expert 1 11-11-2019",0,">=10"
"122","BENI","12-11-2019",2,"expert 2 12-11-2019",0.1,">=10"
"123","BENI","14-11-2019",10,"expert 10 14-11-2019",1,">=10"
"124","BENI","15-11-2019",3,"expert 3 15-11-2019",0,">=10"
"125","BENI","15-11-2019",4,"expert 4 15-11-2019",0.9,">=10"
"126","BENI","15-11-2019",5,"expert 5 15-11-2019",0,">=10"
"127","BENI","20-11-2019",6,"expert 6 20-11-2019",0,">=10"
"128","BENI","22-11-2019",7,"expert 7 22-11-2019",0.3,">=10"
"129","BENI","22-11-2019",8,"expert 8 22-11-2019",0.7,">=10"
"130","BENI","22-11-2019",9,"expert 9 22-11-2019",0,">=10"
"131","GOMA","11-11-2019",1,"expert 1 11-11-2019",0,">=10"
"132","GOMA","12-11-2019",2,"expert 2 12-11-2019",0.05,">=10"
"133","GOMA","14-11-2019",10,"expert 10 14-11-2019",0,">=10"
"134","GOMA","15-11-2019",3,"expert 3 15-11-2019",0,">=10"
"135","GOMA","15-11-2019",4,"expert 4 15-11-2019",0.2,">=10"
"136","GOMA","15-11-2019",5,"expert 5 15-11-2019",0,">=10"
"137","GOMA","20-11-2019",6,"expert 6 20-11-2019",0,">=10"
"138","GOMA","22-11-2019",7,"expert 7 22-11-2019",0,">=10"
"139","GOMA","22-11-2019",8,"expert 8 22-11-2019",0,">=10"
