"","HZ","date","expert","expert.date","p_cm_val","p_cm"
"1","BENI","25-10-2019",12,"expert 12 25-10-2019",0.95,">=2"
"2","BENI","25-10-2019",15,"expert 15 25-10-2019",0.8,">=2"
"3","BENI","25-10-2019",7,"expert 7 25-10-2019",0.85,">=2"
"4","GOMA","25-10-2019",15,"expert 15 25-10-2019",0.5,">=2"
"5","GOMA","25-10-2019",7,"expert 7 25-10-2019",0.05,">=2"
"6","GOMA","25-10-2019",12,"expert 12 25-10-2019",0.1,">=2"
"7","KALUNGUTA","25-10-2019",15,"expert 15 25-10-2019",0.7,">=2"
"8","KALUNGUTA","25-10-2019",12,"expert 12 25-10-2019",0.5,">=2"
"9","KALUNGUTA","25-10-2019",7,"expert 7 25-10-2019",0.8,">=2"
"10","KATWA","25-10-2019",7,"expert 7 25-10-2019",0.5,">=2"
"11","KATWA","25-10-2019",15,"expert 15 25-10-2019",0.6,">=2"
"12","KATWA","25-10-2019",12,"expert 12 25-10-2019",0.2,">=2"
"13","LOLWA","25-10-2019",15,"expert 15 25-10-2019",0.5,">=2"
"14","LOLWA","25-10-2019",12,"expert 12 25-10-2019",0.2,">=2"
"15","LOLWA","25-10-2019",7,"expert 7 25-10-2019",0.05,">=2"
"16","MABALAKO","25-10-2019",7,"expert 7 25-10-2019",0.95,">=2"
"17","MABALAKO","25-10-2019",12,"expert 12 25-10-2019",1,">=2"
"18","MABALAKO","25-10-2019",15,"expert 15 25-10-2019",0.8,">=2"
"19","MAMBASA","25-10-2019",7,"expert 7 25-10-2019",0.9,">=2"
"20","MAMBASA","25-10-2019",15,"expert 15 25-10-2019",0.75,">=2"
"21","MAMBASA","25-10-2019",12,"expert 12 25-10-2019",0.9,">=2"
"22","MANDIMA","25-10-2019",7,"expert 7 25-10-2019",1,">=2"
"23","MANDIMA","25-10-2019",15,"expert 15 25-10-2019",1,">=2"
"24","MANDIMA","25-10-2019",12,"expert 12 25-10-2019",1,">=2"
"25","NYANKUNDE","25-10-2019",7,"expert 7 25-10-2019",0.05,">=2"
"26","NYANKUNDE","25-10-2019",15,"expert 15 25-10-2019",0.45,">=2"
"27","NYANKUNDE","25-10-2019",12,"expert 12 25-10-2019",0.2,">=2"
"28","OICHA","25-10-2019",15,"expert 15 25-10-2019",0.5,">=2"
"29","OICHA","25-10-2019",12,"expert 12 25-10-2019",0.4,">=2"
"30","OICHA","25-10-2019",7,"expert 7 25-10-2019",0.25,">=2"
"31","BENI","25-10-2019",7,"expert 7 25-10-2019",0.45,">=6"
"32","BENI","25-10-2019",12,"expert 12 25-10-2019",0.7,">=6"
"33","BENI","25-10-2019",15,"expert 15 25-10-2019",0.2,">=6"
"34","GOMA","25-10-2019",7,"expert 7 25-10-2019",0,">=6"
"35","GOMA","25-10-2019",12,"expert 12 25-10-2019",0,">=6"
