"","HZ","date","expert","expert.date","p_cm_val","p_cm"
"36","GOMA","25-10-2019",15,"expert 15 25-10-2019",0.2,">=6"
"37","KALUNGUTA","25-10-2019",7,"expert 7 25-10-2019",0.3,">=6"
"38","KALUNGUTA","25-10-2019",12,"expert 12 25-10-2019",0,">=6"
"39","KALUNGUTA","25-10-2019",15,"expert 15 25-10-2019",0.15,">=6"
"40","KATWA","25-10-2019",7,"expert 7 25-10-2019",0,">=6"
"41","KATWA","25-10-2019",12,"expert 12 25-10-2019",0.05,">=6"
"42","KATWA","25-10-2019",15,"expert 15 25-10-2019",0.05,">=6"
"43","LOLWA","25-10-2019",7,"expert 7 25-10-2019",0,">=6"
"44","LOLWA","25-10-2019",12,"expert 12 25-10-2019",0,">=6"
"45","LOLWA","25-10-2019",15,"expert 15 25-10-2019",0.1,">=6"
"46","MABALAKO","25-10-2019",7,"expert 7 25-10-2019",0.8,">=6"
"47","MABALAKO","25-10-2019",12,"expert 12 25-10-2019",0.65,">=6"
"48","MABALAKO","25-10-2019",15,"expert 15 25-10-2019",0.2,">=6"
"49","MAMBASA","25-10-2019",7,"expert 7 25-10-2019",0.5,">=6"
"50","MAMBASA","25-10-2019",12,"expert 12 25-10-2019",0.35,">=6"
"51","MAMBASA","25-10-2019",15,"expert 15 25-10-2019",0.15,">=6"
"52","MANDIMA","25-10-2019",7,"expert 7 25-10-2019",1,">=6"
"53","MANDIMA","25-10-2019",12,"expert 12 25-10-2019",0.9,">=6"
"54","MANDIMA","25-10-2019",15,"expert 15 25-10-2019",0.7,">=6"
"55","NYANKUNDE","25-10-2019",7,"expert 7 25-10-2019",0,">=6"
"56","NYANKUNDE","25-10-2019",12,"expert 12 25-10-2019",0,">=6"
"57","NYANKUNDE","25-10-2019",15,"expert 15 25-10-2019",0.05,">=6"
"58","OICHA","25-10-2019",7,"expert 7 25-10-2019",0.05,">=6"
"59","OICHA","25-10-2019",12,"expert 12 25-10-2019",0.1,">=6"
"60","OICHA","25-10-2019",15,"expert 15 25-10-2019",0.1,">=6"
"61","BENI","25-10-2019",7,"expert 7 25-10-2019",0.3,">=10"
"62","BENI","25-10-2019",12,"expert 12 25-10-2019",0.25,">=10"
"63","BENI","25-10-2019",15,"expert 15 25-10-2019",0.05,">=10"
"64","GOMA","25-10-2019",7,"expert 7 25-10-2019",0,">=10"
"65","GOMA","25-10-2019",12,"expert 12 25-10-2019",0,">=10"
"66","GOMA","25-10-2019",15,"expert 15 25-10-2019",0.1,">=10"
"67","KALUNGUTA","25-10-2019",7,"expert 7 25-10-2019",0,">=10"
"68","KALUNGUTA","25-10-2019",12,"expert 12 25-10-2019",0,">=10"
"69","KALUNGUTA","25-10-2019",15,"expert 15 25-10-2019",0,">=10"
"70","KATWA","25-10-2019",7,"expert 7 25-10-2019",0,">=10"
"71","KATWA","25-10-2019",12,"expert 12 25-10-2019",0,">=10"
"72","KATWA","25-10-2019",15,"expert 15 25-10-2019",0,">=10"
"73","LOLWA","25-10-2019",7,"expert 7 25-10-2019",0,">=10"
"74","LOLWA","25-10-2019",12,"expert 12 25-10-2019",0,">=10"
"75","LOLWA","25-10-2019",15,"expert 15 25-10-2019",0,">=10"
"76","MABALAKO","25-10-2019",7,"expert 7 25-10-2019",0.5,">=10"
"77","MABALAKO","25-10-2019",12,"expert 12 25-10-2019",0.15,">=10"
"78","MABALAKO","25-10-2019",15,"expert 15 25-10-2019",0.05,">=10"
"79","MAMBASA","25-10-2019",7,"expert 7 25-10-2019",0.3,">=10"
"80","MAMBASA","25-10-2019",12,"expert 12 25-10-2019",0.1,">=10"
"81","MAMBASA","25-10-2019",15,"expert 15 25-10-2019",0,">=10"
"82","MANDIMA","25-10-2019",7,"expert 7 25-10-2019",0.9,">=10"
"83","MANDIMA","25-10-2019",12,"expert 12 25-10-2019",0.5,">=10"
"84","MANDIMA","25-10-2019",15,"expert 15 25-10-2019",0.35,">=10"
"85","NYANKUNDE","25-10-2019",7,"expert 7 25-10-2019",0,">=10"
"86","NYANKUNDE","25-10-2019",12,"expert 12 25-10-2019",0,">=10"
"87","NYANKUNDE","25-10-2019",15,"expert 15 25-10-2019",0,">=10"
"88","OICHA","25-10-2019",7,"expert 7 25-10-2019",0,">=10"
"89","OICHA","25-10-2019",12,"expert 12 25-10-2019",0,">=10"
"90","OICHA","25-10-2019",15,"expert 15 25-10-2019",0,">=10"
"91","BENI","25-10-2019",7,"expert 7 25-10-2019",0.05,">=20"
"92","BENI","25-10-2019",12,"expert 12 25-10-2019",0,">=20"
"93","BENI","25-10-2019",15,"expert 15 25-10-2019",0,">=20"
"94","GOMA","25-10-2019",7,"expert 7 25-10-2019",0,">=20"
"95","GOMA","25-10-2019",12,"expert 12 25-10-2019",0,">=20"
"96","GOMA","25-10-2019",15,"expert 15 25-10-2019",0,">=20"
"97","KALUNGUTA","25-10-2019",7,"expert 7 25-10-2019",0,">=20"
"98","KALUNGUTA","25-10-2019",12,"expert 12 25-10-2019",0,">=20"
"99","KALUNGUTA","25-10-2019",15,"expert 15 25-10-2019",0,">=20"
"100","KATWA","25-10-2019",7,"expert 7 25-10-2019",0,">=20"
"101","KATWA","25-10-2019",12,"expert 12 25-10-2019",0,">=20"
"102","KATWA","25-10-2019",15,"expert 15 25-10-2019",0,">=20"
"103","LOLWA","25-10-2019",7,"expert 7 25-10-2019",0,">=20"
"104","LOLWA","25-10-2019",12,"expert 12 25-10-2019",0,">=20"
"105","LOLWA","25-10-2019",15,"expert 15 25-10-2019",0,">=20"
"106","MABALAKO","25-10-2019",7,"expert 7 25-10-2019",0.15,">=20"
"107","MABALAKO","25-10-2019",12,"expert 12 25-10-2019",0,">=20"
"108","MABALAKO","25-10-2019",15,"expert 15 25-10-2019",0,">=20"
"109","MAMBASA","25-10-2019",7,"expert 7 25-10-2019",0.05,">=20"
"110","MAMBASA","25-10-2019",12,"expert 12 25-10-2019",0,">=20"
"111","MAMBASA","25-10-2019",15,"expert 15 25-10-2019",0,">=20"
"112","MANDIMA","25-10-2019",7,"expert 7 25-10-2019",0.5,">=20"
"113","MANDIMA","25-10-2019",12,"expert 12 25-10-2019",0,">=20"
"114","MANDIMA","25-10-2019",15,"expert 15 25-10-2019",0.05,">=20"
"115","NYANKUNDE","25-10-2019",7,"expert 7 25-10-2019",0,">=20"
"116","NYANKUNDE","25-10-2019",12,"expert 12 25-10-2019",0,">=20"
"117","NYANKUNDE","25-10-2019",15,"expert 15 25-10-2019",0,">=20"
"118","OICHA","25-10-2019",7,"expert 7 25-10-2019",0,">=20"
"119","OICHA","25-10-2019",12,"expert 12 25-10-2019",0,">=20"
"120","OICHA","25-10-2019",15,"expert 15 25-10-2019",0,">=20"
