"","HZ","date","expert","expert.date","p_cm_val","p_cm"
"1","BENI","18-02-2020",1,"expert 1 18-02-2020",0.5,">=2"
"2","BENI","20-02-2020",8,"expert 8 20-02-2020",0.25,">=2"
"3","BENI","25-02-2020",11,"expert 11 25-02-2020",0.35,">=2"
"4","BENI","21-02-2020",4,"expert 4 21-02-2020",0.85,">=2"
"5","BENI","18-02-2020",13,"expert 13 18-02-2020",0.4,">=2"
"6","BENI","21-02-2020",5,"expert 5 21-02-2020",0.05,">=2"
"7","BENI","24-02-2020",9,"expert 9 24-02-2020",0.25,">=2"
"8","BENI","25-02-2020",3,"expert 3 25-02-2020",0,">=2"
"9","BUTEMBO","18-02-2020",13,"expert 13 18-02-2020",0,">=2"
"10","BUTEMBO","21-02-2020",5,"expert 5 21-02-2020",0,">=2"
"11","BUTEMBO","25-02-2020",3,"expert 3 25-02-2020",0,">=2"
"12","BUTEMBO","20-02-2020",8,"expert 8 20-02-2020",0.15,">=2"
"13","BUTEMBO","21-02-2020",4,"expert 4 21-02-2020",0.7,">=2"
"14","BUTEMBO","18-02-2020",1,"expert 1 18-02-2020",0.1,">=2"
"15","BUTEMBO","25-02-2020",11,"expert 11 25-02-2020",0.05,">=2"
"16","BUTEMBO","24-02-2020",9,"expert 9 24-02-2020",0,">=2"
"17","GOMA","20-02-2020",8,"expert 8 20-02-2020",0.05,">=2"
"18","GOMA","25-02-2020",11,"expert 11 25-02-2020",0,">=2"
"19","GOMA","18-02-2020",13,"expert 13 18-02-2020",0.1,">=2"
"20","GOMA","21-02-2020",5,"expert 5 21-02-2020",0,">=2"
"21","GOMA","24-02-2020",9,"expert 9 24-02-2020",0,">=2"
"22","GOMA","25-02-2020",3,"expert 3 25-02-2020",0,">=2"
"23","GOMA","21-02-2020",4,"expert 4 21-02-2020",0.15,">=2"
"24","GOMA","18-02-2020",1,"expert 1 18-02-2020",0.1,">=2"
"25","MANDIMA","18-02-2020",13,"expert 13 18-02-2020",0,">=2"
"26","MANDIMA","21-02-2020",4,"expert 4 21-02-2020",0.55,">=2"
"27","MANDIMA","25-02-2020",11,"expert 11 25-02-2020",0.05,">=2"
"28","MANDIMA","24-02-2020",9,"expert 9 24-02-2020",0,">=2"
"29","MANDIMA","20-02-2020",8,"expert 8 20-02-2020",0.5,">=2"
"30","MANDIMA","25-02-2020",3,"expert 3 25-02-2020",0,">=2"
"31","MANDIMA","18-02-2020",1,"expert 1 18-02-2020",0.1,">=2"
"32","MANDIMA","21-02-2020",5,"expert 5 21-02-2020",0,">=2"
"33","BENI","18-02-2020",1,"expert 1 18-02-2020",0,">=6"
"34","BENI","18-02-2020",13,"expert 13 18-02-2020",0,">=6"
"35","BENI","20-02-2020",8,"expert 8 20-02-2020",0.1,">=6"
"36","BENI","21-02-2020",4,"expert 4 21-02-2020",0.15,">=6"
"37","BENI","21-02-2020",5,"expert 5 21-02-2020",0,">=6"
"38","BENI","24-02-2020",9,"expert 9 24-02-2020",0,">=6"
"39","BENI","25-02-2020",3,"expert 3 25-02-2020",0,">=6"
"40","BENI","25-02-2020",11,"expert 11 25-02-2020",0,">=6"
"41","BUTEMBO","18-02-2020",1,"expert 1 18-02-2020",0,">=6"
"42","BUTEMBO","18-02-2020",13,"expert 13 18-02-2020",0,">=6"
"43","BUTEMBO","20-02-2020",8,"expert 8 20-02-2020",0,">=6"
"44","BUTEMBO","21-02-2020",4,"expert 4 21-02-2020",0.1,">=6"
"45","BUTEMBO","21-02-2020",5,"expert 5 21-02-2020",0,">=6"
"46","BUTEMBO","24-02-2020",9,"expert 9 24-02-2020",0,">=6"
"47","BUTEMBO","25-02-2020",3,"expert 3 25-02-2020",0,">=6"
"48","BUTEMBO","25-02-2020",11,"expert 11 25-02-2020",0,">=6"
"49","GOMA","18-02-2020",1,"expert 1 18-02-2020",0,">=6"
"50","GOMA","18-02-2020",13,"expert 13 18-02-2020",0,">=6"
"51","GOMA","20-02-2020",8,"expert 8 20-02-2020",0,">=6"
"52","GOMA","21-02-2020",4,"expert 4 21-02-2020",0,">=6"
"53","GOMA","21-02-2020",5,"expert 5 21-02-2020",0,">=6"
"54","GOMA","24-02-2020",9,"expert 9 24-02-2020",0,">=6"
"55","GOMA","25-02-2020",3,"expert 3 25-02-2020",0,">=6"
"56","GOMA","25-02-2020",11,"expert 11 25-02-2020",0,">=6"
"57","MANDIMA","18-02-2020",1,"expert 1 18-02-2020",0,">=6"
"58","MANDIMA","18-02-2020",13,"expert 13 18-02-2020",0,">=6"
"59","MANDIMA","20-02-2020",8,"expert 8 20-02-2020",0.25,">=6"
"60","MANDIMA","21-02-2020",4,"expert 4 21-02-2020",0.15,">=6"
"61","MANDIMA","21-02-2020",5,"expert 5 21-02-2020",0,">=6"
"62","MANDIMA","24-02-2020",9,"expert 9 24-02-2020",0,">=6"
"63","MANDIMA","25-02-2020",3,"expert 3 25-02-2020",0,">=6"
"64","MANDIMA","25-02-2020",11,"expert 11 25-02-2020",0,">=6"
"65","BENI","18-02-2020",1,"expert 1 18-02-2020",0,">=10"
"66","BENI","18-02-2020",13,"expert 13 18-02-2020",0,">=10"
"67","BENI","20-02-2020",8,"expert 8 20-02-2020",0,">=10"
"68","BENI","21-02-2020",4,"expert 4 21-02-2020",0,">=10"
"69","BENI","21-02-2020",5,"expert 5 21-02-2020",0,">=10"
"70","BENI","24-02-2020",9,"expert 9 24-02-2020",0,">=10"
"71","BENI","25-02-2020",3,"expert 3 25-02-2020",0,">=10"
"72","BENI","25-02-2020",11,"expert 11 25-02-2020",0,">=10"
"73","BUTEMBO","18-02-2020",1,"expert 1 18-02-2020",0,">=10"
"74","BUTEMBO","18-02-2020",13,"expert 13 18-02-2020",0,">=10"
"75","BUTEMBO","20-02-2020",8,"expert 8 20-02-2020",0,">=10"
"76","BUTEMBO","21-02-2020",4,"expert 4 21-02-2020",0,">=10"
"77","BUTEMBO","21-02-2020",5,"expert 5 21-02-2020",0,">=10"
