"","HZ","date","expert","expert.date","p_cm_val","p_cm"
"1","BENI","23-12-2019",9,"expert 9 23-12-2019",0.9,">=2"
"2","BENI","17-12-2019",10,"expert 10 17-12-2019",0.7,">=2"
"3","BENI","17-12-2019",1,"expert 1 17-12-2019",1,">=2"
"4","BENI","23-12-2019",11,"expert 11 23-12-2019",0.95,">=2"
"5","BENI","18-12-2019",4,"expert 4 18-12-2019",0.75,">=2"
"6","BENI","19-12-2019",5,"expert 5 19-12-2019",1,">=2"
"7","BENI","19-12-2019",2,"expert 2 19-12-2019",1,">=2"
"8","BENI","23-12-2019",8,"expert 8 23-12-2019",0.6,">=2"
"9","BIENA","18-12-2019",4,"expert 4 18-12-2019",0.7,">=2"
"10","BIENA","23-12-2019",9,"expert 9 23-12-2019",0.8,">=2"
"11","BIENA","19-12-2019",2,"expert 2 19-12-2019",1,">=2"
"12","BIENA","17-12-2019",1,"expert 1 17-12-2019",0.95,">=2"
"13","BIENA","23-12-2019",11,"expert 11 23-12-2019",0.6,">=2"
"14","BIENA","17-12-2019",10,"expert 10 17-12-2019",0.05,">=2"
"15","BIENA","19-12-2019",5,"expert 5 19-12-2019",0.1,">=2"
"16","BIENA","23-12-2019",8,"expert 8 23-12-2019",0.65,">=2"
"17","GOMA","23-12-2019",8,"expert 8 23-12-2019",0.1,">=2"
"18","GOMA","17-12-2019",10,"expert 10 17-12-2019",0.1,">=2"
"19","GOMA","17-12-2019",1,"expert 1 17-12-2019",0,">=2"
"20","GOMA","18-12-2019",4,"expert 4 18-12-2019",0.45,">=2"
"21","GOMA","23-12-2019",9,"expert 9 23-12-2019",0.35,">=2"
"22","GOMA","23-12-2019",11,"expert 11 23-12-2019",0.2,">=2"
"23","GOMA","19-12-2019",5,"expert 5 19-12-2019",0,">=2"
"24","GOMA","19-12-2019",2,"expert 2 19-12-2019",0.1,">=2"
"25","MABALAKO","17-12-2019",10,"expert 10 17-12-2019",0.7,">=2"
"26","MABALAKO","19-12-2019",2,"expert 2 19-12-2019",1,">=2"
"27","MABALAKO","23-12-2019",11,"expert 11 23-12-2019",1,">=2"
"28","MABALAKO","19-12-2019",5,"expert 5 19-12-2019",1,">=2"
"29","MABALAKO","18-12-2019",4,"expert 4 18-12-2019",0.95,">=2"
"30","MABALAKO","23-12-2019",8,"expert 8 23-12-2019",1,">=2"
"31","MABALAKO","17-12-2019",1,"expert 1 17-12-2019",1,">=2"
"32","MABALAKO","23-12-2019",9,"expert 9 23-12-2019",1,">=2"
"33","MANDIMA","18-12-2019",4,"expert 4 18-12-2019",0.95,">=2"
"34","MANDIMA","17-12-2019",10,"expert 10 17-12-2019",0.25,">=2"
"35","MANDIMA","17-12-2019",1,"expert 1 17-12-2019",0.95,">=2"
"36","MANDIMA","23-12-2019",11,"expert 11 23-12-2019",1,">=2"
"37","MANDIMA","19-12-2019",5,"expert 5 19-12-2019",0.95,">=2"
"38","MANDIMA","23-12-2019",8,"expert 8 23-12-2019",0.9,">=2"
"39","MANDIMA","23-12-2019",9,"expert 9 23-12-2019",0.9,">=2"
"40","MANDIMA","19-12-2019",2,"expert 2 19-12-2019",1,">=2"
"41","OICHA","17-12-2019",1,"expert 1 17-12-2019",0.95,">=2"
"42","OICHA","23-12-2019",11,"expert 11 23-12-2019",1,">=2"
"43","OICHA","19-12-2019",5,"expert 5 19-12-2019",0.15,">=2"
"44","OICHA","19-12-2019",2,"expert 2 19-12-2019",0.55,">=2"
"45","OICHA","18-12-2019",4,"expert 4 18-12-2019",0.95,">=2"
"46","OICHA","23-12-2019",8,"expert 8 23-12-2019",0.65,">=2"
"47","OICHA","17-12-2019",10,"expert 10 17-12-2019",0.2,">=2"
"48","OICHA","23-12-2019",9,"expert 9 23-12-2019",0.8,">=2"
"49","BENI","17-12-2019",1,"expert 1 17-12-2019",0.95,">=6"
"50","BENI","17-12-2019",10,"expert 10 17-12-2019",0,">=6"
"51","BENI","18-12-2019",4,"expert 4 18-12-2019",0.25,">=6"
"52","BENI","19-12-2019",2,"expert 2 19-12-2019",0.5,">=6"
"53","BENI","19-12-2019",5,"expert 5 19-12-2019",0.8,">=6"
"54","BENI","23-12-2019",8,"expert 8 23-12-2019",0.2,">=6"
"55","BENI","23-12-2019",9,"expert 9 23-12-2019",0.25,">=6"
"56","BENI","23-12-2019",11,"expert 11 23-12-2019",0.6,">=6"
"57","BIENA","17-12-2019",1,"expert 1 17-12-2019",0.55,">=6"
"58","BIENA","17-12-2019",10,"expert 10 17-12-2019",0,">=6"
"59","BIENA","18-12-2019",4,"expert 4 18-12-2019",0.25,">=6"
"60","BIENA","19-12-2019",2,"expert 2 19-12-2019",0.1,">=6"
"61","BIENA","19-12-2019",5,"expert 5 19-12-2019",0,">=6"
"62","BIENA","23-12-2019",8,"expert 8 23-12-2019",0.2,">=6"
"63","BIENA","23-12-2019",9,"expert 9 23-12-2019",0.05,">=6"
"64","BIENA","23-12-2019",11,"expert 11 23-12-2019",0,">=6"
"65","GOMA","17-12-2019",1,"expert 1 17-12-2019",0,">=6"
"66","GOMA","17-12-2019",10,"expert 10 17-12-2019",0,">=6"
"67","GOMA","18-12-2019",4,"expert 4 18-12-2019",0.1,">=6"
"68","GOMA","19-12-2019",2,"expert 2 19-12-2019",0,">=6"
"69","GOMA","19-12-2019",5,"expert 5 19-12-2019",0,">=6"
"70","GOMA","23-12-2019",8,"expert 8 23-12-2019",0,">=6"
"71","GOMA","23-12-2019",9,"expert 9 23-12-2019",0,">=6"
"72","GOMA","23-12-2019",11,"expert 11 23-12-2019",0,">=6"
"73","MABALAKO","17-12-2019",1,"expert 1 17-12-2019",1,">=6"
"74","MABALAKO","17-12-2019",10,"expert 10 17-12-2019",0,">=6"
